total_return,ann_return,sharpe,max_dd,trades,win_rate,pf,final,breakout,breakdown,trailing_stop,config
185.79243799999944,13.023070582151131,1.442671737003535,-4.524968639368731,1207,53.852526926263465,3.100575626182532,1428962.1899999972,10,5,25.0,BO10_BD5_TS25
173.8382339999998,12.461465646290915,1.4056554208413166,-3.661376403900327,1215,53.66255144032922,2.987293847968482,1369191.169999999,10,5,20.0,BO10_BD5_TS20
170.05567799999994,12.27924832354339,1.397173063404139,-3.625930741228239,1230,53.82113821138211,2.951180840841401,1350278.3899999997,10,5,15.0,BO10_BD5_TS15
183.97419399999976,12.939004271270083,1.3640807585777333,-4.862600154169765,1002,51.796407185628745,2.941105634645681,1419870.9699999988,15,10,25.0,BO15_BD10_TS25
151.21703399999987,11.336699488887291,1.3632310295619965,-3.159219741613586,1286,52.17729393468118,2.765008413057336,1256085.1699999992,10,5,10.0,BO10_BD5_TS10
194.8084579999995,13.43307216958458,1.3614905318152999,-5.09321260454436,1072,50.65298507462687,2.8572855671912127,1474042.2899999975,10,10,25.0,BO10_BD10_TS25
173.6337379999997,12.451671477143012,1.3597923926359032,-4.720265366364046,1126,53.9076376554174,3.154595724812264,1368168.6899999985,15,5,25.0,BO15_BD5_TS25
160.64441999999985,11.815902009396018,1.3589797169536224,-3.508470237382882,1196,50.0,2.766590097685129,1303222.0999999992,10,10,10.0,BO10_BD10_TS10
176.75340799999972,12.600387506725985,1.341701570279773,-4.4454380559422235,1017,51.524090462143555,2.8636500039019612,1383767.0399999986,15,10,20.0,BO15_BD10_TS20
182.83782799999946,12.88622273371125,1.3397693855029587,-4.6035696004884255,1088,50.73529411764706,2.7720949986603043,1414189.1399999973,10,10,20.0,BO10_BD10_TS20
179.6531059999997,12.737295276338179,1.3357015669541914,-4.2784222475642135,1113,51.123090745732256,2.8005854176608405,1398265.5299999984,10,10,15.0,BO10_BD10_TS15
185.6232659999994,13.015268899825916,1.33116622371114,-4.796440228475742,968,51.962809917355365,2.839257844721501,1428116.329999997,15,15,20.0,BO15_BD15_TS20
190.44869799999952,13.236217243451476,1.330591934675786,-5.4548706666594695,948,51.89873417721519,2.862404706358482,1452243.4899999977,15,15,25.0,BO15_BD15_TS25
172.12912199999968,12.379409646138306,1.327239754888975,-3.8482801579672654,1036,52.02702702702703,2.8986372890258503,1360645.6099999985,15,10,15.0,BO15_BD10_TS15
186.40622799999957,13.051342441626268,1.3240004955228817,-5.186075954145225,918,51.307189542483655,2.826996048963577,1432031.1399999978,20,15,25.0,BO20_BD15_TS25
172.6234299999997,12.403188504486916,1.3208171343673187,-5.040766017628546,967,52.01654601861427,2.877525080157666,1363117.1499999985,20,10,25.0,BO20_BD10_TS25
161.40310799999972,11.853797755101848,1.3193801069005051,-3.8018774058491105,1134,53.70370370370371,3.0009296425504046,1307015.5399999986,15,5,20.0,BO15_BD5_TS20
151.6369799999998,11.358381126459705,1.3165276663668597,-3.291219106306643,1107,49.95483288166215,2.8425849839377,1258184.899999999,15,10,10.0,BO15_BD10_TS10
161.67828799999975,11.867518725510218,1.3122028457890555,-4.783482859627716,1078,53.896103896103895,3.0682395782644925,1308391.4399999988,20,5,25.0,BO20_BD5_TS25
157.06806999999992,11.635943676079584,1.31117344538877,-3.756515449185751,1146,53.83944153577661,2.9526752519485098,1285340.3499999996,15,5,15.0,BO15_BD5_TS15
166.71117999999976,12.116245640530664,1.3100062479642427,-4.636447654413363,977,51.99590583418628,2.833800592481433,1333555.8999999987,20,10,20.0,BO20_BD10_TS20
173.90706599999945,12.4647608453752,1.3074583763903393,-4.13812303573822,991,52.67406659939455,2.8572673027169038,1369535.3299999973,15,15,15.0,BO15_BD15_TS15
164.48048599999993,12.00652026700495,1.2963599498041727,-5.398900615802461,863,52.83893395133256,3.0622999419237216,1322402.4299999997,30,10,25.0,BO30_BD10_TS25
175.6342979999996,12.547210179477975,1.2961779838230802,-4.663788386494083,932,51.50214592274678,2.7585244026899356,1378171.489999998,20,15,20.0,BO20_BD15_TS20
186.70963399999948,13.06529790078903,1.2938335489572557,-4.995056163880588,1029,51.02040816326531,2.7097714744529644,1433548.1699999974,10,15,20.0,BO10_BD15_TS20
161.75810799999962,11.871496309522001,1.2899402185978297,-4.032233068645216,994,52.31388329979879,2.8592982354855723,1308790.5399999982,20,10,15.0,BO20_BD10_TS15
177.8956119999994,12.654466677131104,1.2824869494391726,-4.455314709651783,1061,51.64938737040528,2.734577004318096,1389478.059999997,10,15,15.0,BO10_BD15_TS15
158.5148299999997,11.70900795161003,1.282371573771729,-3.8078637445576553,1165,49.69957081545064,2.6871029314943216,1292574.1499999985,10,15,10.0,BO10_BD15_TS10
190.3078479999994,13.229814064413969,1.2820165334775158,-5.673975188200548,1007,51.14200595829196,2.7250775564983836,1451539.2399999972,10,15,25.0,BO10_BD15_TS25
139.36038600000012,10.710930874164015,1.2699091100981208,-3.251139875925983,1192,52.09731543624161,2.773134627237391,1196801.9300000006,15,5,10.0,BO15_BD5_TS10
150.22438599999975,11.285321916667336,1.2693178035109438,-3.8151164861388516,1085,53.73271889400921,2.924286116321265,1251121.9299999988,20,5,20.0,BO20_BD5_TS20
146.27213599999993,11.078958788744032,1.2671005138045166,-3.776359884363346,1096,53.92335766423357,2.8841468128587917,1231360.6799999997,20,5,15.0,BO20_BD5_TS15
143.89056199999976,10.953189997954205,1.2588733604329967,-3.417993391429832,1055,49.85781990521327,2.820659461855953,1219452.809999999,20,10,10.0,BO20_BD10_TS10
152.0575859999997,11.380064822593038,1.2564561304514326,-3.4204273227488446,1081,50.138760407030524,2.791889873405169,1260287.9299999985,15,15,10.0,BO15_BD15_TS10
162.9382599999997,11.930180859382356,1.2496648984665646,-4.377053250548416,957,52.14211076280042,2.74286489010104,1314691.2999999984,20,15,15.0,BO20_BD15_TS15
146.97261999999975,11.115746228697576,1.2397872376797372,-4.738339350128296,959,54.11887382690303,3.1901441729316673,1234863.0999999987,30,5,25.0,BO30_BD5_TS25
166.57704799999973,12.109670787495208,1.2362794554330803,-6.016556939053866,820,51.951219512195124,2.8768610762623616,1332885.2399999986,30,15,25.0,BO30_BD15_TS25
152.42967199999984,11.399220514435005,1.234424140078132,-5.200245163303734,871,52.58323765786452,2.9057772170020137,1262148.3599999992,30,10,20.0,BO30_BD10_TS20
162.13546199999976,11.890286090005109,1.2240943083824092,-5.3535976228902795,833,51.50060024009604,2.8294566536769468,1310677.309999999,30,15,20.0,BO30_BD15_TS20
148.44392999999977,11.192716099936417,1.2067627876809441,-4.324248101251241,886,52.370203160270876,2.9404933373932836,1242219.649999999,30,10,15.0,BO30_BD10_TS15
131.34671200000048,10.27228763288781,1.202563206935643,-3.3311791731699474,1133,52.07413945278023,2.734828048699757,1156733.5600000024,20,5,10.0,BO20_BD5_TS10
134.89253399999993,10.46800429670569,1.1986220756324588,-3.410295025003173,935,49.94652406417112,2.986773302165117,1174462.6699999997,30,10,10.0,BO30_BD10_TS10
136.27097199999997,10.543385193373322,1.1938226739627256,-3.806152826544249,966,53.83022774327122,3.018160712777718,1181354.8599999999,30,5,20.0,BO30_BD5_TS20
143.08095599999987,10.910188260513575,1.1925601661366028,-3.6364037175481667,1031,49.5635305528613,2.7401673338466654,1215404.7799999993,20,15,10.0,BO20_BD15_TS10
132.68013000000028,10.34619642675585,1.178211758687167,-3.7719626701248092,975,53.94871794871795,2.9855817491388708,1163400.6500000013,30,5,15.0,BO30_BD5_TS15
149.1375059999999,11.228860157808551,1.1661290689336945,-4.847361034637309,856,51.752336448598136,2.79766074609179,1245687.5299999993,30,15,15.0,BO30_BD15_TS15
122.29837200000043,9.760574104143881,1.1352526657281017,-3.216645889008174,1004,52.191235059760956,2.9092703637302244,1111491.8600000022,30,5,10.0,BO30_BD5_TS10
133.0155179999999,10.36472743600294,1.1244502759095847,-3.523711670441682,916,48.68995633187773,2.8501379219655796,1165077.5899999994,30,15,10.0,BO30_BD15_TS10
