date,portfolio_value,cash,positions,invested,peak,drawdown,year
2017-04-01,999999.9999999999,480698.0199999999,52,519301.98,999999.9999999999,0.0,2017
2017-05-01,1022018.1799999999,409351.51999999984,59,612666.66,1022018.1799999999,0.0,2017
2017-06-01,1039242.8999999999,366662.7299999999,63,672580.1699999999,1039242.8999999999,0.0,2017
2017-07-01,1019653.7999999998,308236.64999999997,68,711417.1499999998,1039242.8999999999,-1.884939507404871,2017
2017-08-01,1046973.5300000001,325209.06000000006,65,721764.4700000001,1046973.5300000001,0.0,2017
2017-09-01,1035802.6699999999,326388.6800000001,63,709413.9899999998,1046973.5300000001,-1.0669668028761163,2017
2017-10-01,1074885.3800000004,348552.03000000014,60,726333.3500000002,1074885.3800000004,0.0,2017
2017-11-01,1064730.9699999997,273955.62000000005,67,790775.3499999997,1074885.3800000004,-0.944697005740334,2017
2017-12-01,1089373.0599999996,286039.91000000003,65,803333.1499999996,1089373.0599999996,0.0,2017
2018-01-01,1093143.22,308020.18999999994,63,785123.03,1093143.22,0.0,2018
2018-02-01,1178982.8499999999,277976.02999999985,66,901006.8200000001,1178982.8499999999,0.0,2018
2018-03-01,1163043.2499999998,311293.51999999984,62,851749.7299999999,1178982.8499999999,-1.3519789537227023,2018
2018-04-01,1171497.2400000002,259267.54999999987,67,912229.6900000004,1178982.8499999999,-0.6349210253566995,2018
2018-05-01,1185462.3499999999,292512.2999999999,65,892950.05,1185462.3499999999,0.0,2018
2018-06-01,1320825.6199999999,296442.13999999984,67,1024383.4800000001,1320825.6199999999,0.0,2018
2018-07-01,1317019.3499999999,277373.4299999999,68,1039645.92,1320825.6199999999,-0.28817354405951173,2018
2018-08-01,1339866.42,312901.1499999999,67,1026965.27,1339866.42,0.0,2018
2018-09-01,1446403.5899999996,326372.01999999984,66,1120031.5699999998,1446403.5899999996,0.0,2018
2018-10-01,1455191.9299999997,350131.89999999985,63,1105060.0299999998,1455191.9299999997,0.0,2018
2018-11-01,1353394.4199999997,337962.08999999973,65,1015432.33,1455191.9299999997,-6.995469662891825,2018
2018-12-01,1332803.4699999997,352644.5199999997,66,980158.9500000001,1455191.9299999997,-8.410468576471558,2018
2019-01-01,1229601.5299999998,356897.22999999975,64,872704.3,1455191.9299999997,-15.502449907071705,2019
2019-02-01,1332096.4999999998,379564.3699999997,64,952532.1300000001,1455191.9299999997,-8.459051171346172,2019
2019-03-01,1433709.7399999995,413283.5799999997,63,1020426.1599999998,1455191.9299999997,-1.476244442889412,2019
2019-04-01,1417286.2399999995,399544.42999999964,64,1017741.8099999998,1455191.9299999997,-2.6048584532763446,2019
2019-05-01,1430996.6399999992,448945.2199999997,62,982051.4199999996,1455191.9299999997,-1.6626872030550985,2019
2019-06-01,1458353.6199999996,491092.53999999963,61,967261.0800000001,1458353.6199999996,0.0,2019
2019-07-01,1538436.63,507977.58999999985,60,1030459.04,1538436.63,0.0,2019
2019-08-01,1579765.0399999998,514067.6999999997,60,1065697.34,1579765.0399999998,0.0,2019
2019-09-01,1554614.1499999997,485907.4099999997,65,1068706.74,1579765.0399999998,-1.5920652352200508,2019
2019-10-01,1439321.7399999998,497366.7099999997,65,941955.0300000001,1579765.0399999998,-8.890138498064248,2019
2019-11-01,1520922.0799999994,528151.0899999996,63,992770.9899999998,1579765.0399999998,-3.7247918842412435,2019
2019-12-01,1660940.8399999999,537940.4799999996,64,1123000.36,1660940.8399999999,0.0,2019
2020-01-01,1694217.3499999996,522437.8899999993,66,1171779.4600000002,1694217.3499999996,0.0,2020
2020-02-01,1676490.6799999992,544109.4099999991,67,1132381.2700000003,1694217.3499999996,-1.0463043599453397,2020
2020-03-01,1663696.8699999992,619384.8699999992,64,1044312.0,1694217.3499999996,-1.8014500913947347,2020
2020-04-01,1389280.0499999993,596409.4299999994,63,792870.6200000001,1694217.3499999996,-17.99871191261265,2020
2020-05-01,1562624.5699999994,537604.7199999993,68,1025019.8500000001,1694217.3499999996,-7.767172258034089,2020
2020-06-01,1774518.0999999996,686152.0899999995,62,1088366.0100000002,1774518.0999999996,0.0,2020
2020-07-01,1850857.9899999998,694412.1699999996,64,1156445.8200000003,1850857.9899999998,0.0,2020
2020-08-01,1985882.3999999994,655352.9699999995,69,1330529.43,1985882.3999999994,0.0,2020
2020-09-01,2151014.469999999,734022.3899999995,64,1416992.0799999994,2151014.469999999,0.0,2020
2020-10-01,2160873.1399999997,746436.7499999995,64,1414436.39,2160873.1399999997,0.0,2020
2020-11-01,2102674.9399999985,756494.0499999995,66,1346180.8899999992,2160873.1399999997,-2.6932724056166077,2020
2020-12-01,2507840.309999999,760279.8399999994,67,1747560.4699999997,2507840.309999999,0.0,2020
2021-01-01,2818061.959999999,834578.0999999992,62,1983483.8599999999,2818061.959999999,0.0,2021
2021-02-01,3512865.3199999994,861569.7899999993,64,2651295.53,3512865.3199999994,0.0,2021
2021-03-01,3730094.459999998,884361.5999999994,65,2845732.8599999985,3730094.459999998,0.0,2021
2021-04-01,3402543.7499999986,1007972.0099999993,63,2394571.7399999993,3730094.459999998,-8.781297994260436,2021
2021-05-01,3742465.6999999983,1071341.0799999994,62,2671124.619999999,3742465.6999999983,0.0,2021
2021-06-01,3580630.55,1074816.299999999,64,2505814.2500000005,3742465.6999999983,-4.324292137132976,2021
2021-07-01,4437034.859999999,1164670.3999999992,60,3272364.46,4437034.859999999,0.0,2021
2021-08-01,3887634.1399999987,1271489.5199999993,62,2616144.6199999996,4437034.859999999,-12.382159197189646,2021
2021-09-01,4157983.4199999995,1351539.8699999992,64,2806443.5500000003,4437034.859999999,-6.289142384605921,2021
2021-10-01,4406558.699999999,1946865.1599999992,61,2459693.5400000005,4437034.859999999,-0.6868587009478703,2021
2021-11-01,6285053.339999998,1956451.749999999,62,4328601.589999999,6285053.339999998,0.0,2021
2021-12-01,4811680.609999999,2060943.2399999998,60,2750737.369999999,6285053.339999998,-23.442485692571687,2021
2022-01-01,5673130.89,2066019.9600000002,62,3607110.9299999992,6285053.339999998,-9.736153647345155,2022
2022-02-01,3880710.05,2091810.2200000002,63,1788899.8299999994,6285053.339999998,-38.25493850144475,2022
2022-03-01,4006572.2800000007,2051044.9099999992,66,1955527.3700000015,6285053.339999998,-36.252374271814816,2022
2022-04-01,4510150.4399999995,2074516.099999999,62,2435634.340000001,6285053.339999998,-28.24006104616447,2022
2022-05-01,3089097.429999999,2428198.449999999,62,660898.9799999999,6285053.339999998,-50.850100024767656,2022
2022-06-01,3070488.4299999974,2424746.0599999973,59,645742.37,6285053.339999998,-51.146183430799674,2022
2022-07-01,3010273.3699999987,2451609.1099999985,52,558664.2600000001,6285053.339999998,-52.10425103568016,2022
2022-08-01,3083344.469999999,2379315.9599999986,59,704028.51,6285053.339999998,-50.94163401324451,2022
2022-09-01,3075677.1099999985,2395463.719999999,56,680213.3899999999,6285053.339999998,-51.063627568195,2022
2022-10-01,3022760.66,2443476.6,49,579284.0600000002,6285053.339999998,-51.90556871232535,2022
2022-11-01,3092310.8000000003,2447142.2600000002,50,645168.5399999999,6285053.339999998,-50.79897285326776,2022
2022-12-01,3112490.3500000006,2374279.2400000007,57,738211.1099999999,6285053.339999998,-50.477900796940546,2022
2023-01-01,3080353.0500000007,2369457.3200000008,57,710895.7300000001,6285053.339999998,-50.989229790689386,2023
2023-02-01,3117683.1900000013,2326470.480000001,61,791212.7100000002,6285053.339999998,-50.39527874555792,2023
2023-03-01,3119085.6800000006,2333254.1100000013,61,785831.5699999996,6285053.339999998,-50.372964058249316,2023
2023-04-01,3131364.370000001,2329887.470000001,61,801476.8999999997,6285053.339999998,-50.17760072025097,2023
2023-05-01,3114536.6300000018,2338251.0400000014,62,776285.5900000001,6285053.339999998,-50.4453429189194,2023
2023-06-01,3155974.58,2331187.39,62,824787.1900000001,6285053.339999998,-49.786033478595726,2023
2023-07-01,3176950.920000001,2323158.190000001,65,853792.7299999997,6285053.339999998,-49.45228388467421,2023
2023-08-01,3221519.5100000016,2310960.5900000012,66,910558.9200000002,6285053.339999998,-48.743163570350816,2023
2023-09-01,3195793.990000001,2345723.730000001,62,850070.2600000005,6285053.339999998,-49.15247624612837,2023
2023-10-01,3165070.910000001,2331198.3500000006,63,833872.5600000004,6285053.339999998,-49.641303919307674,2023
2023-11-01,3099879.1100000003,2345702.4200000004,60,754176.69,6285053.339999998,-50.67855525948486,2023
2023-12-01,3212768.68,2318119.5300000003,64,894649.15,6285053.339999998,-48.882395960699974,2023
2024-01-01,3347651.999999999,2348971.5099999993,62,998680.49,6285053.339999998,-46.73629929766037,2024
2024-02-01,3485598.8599999985,2344179.9899999984,62,1141418.8699999999,6285053.339999998,-44.541459372881,2024
2024-03-01,3731382.0699999966,2371790.009999997,62,1359592.0599999996,6285053.339999998,-40.63086073983904,2024
2024-04-01,3740027.039999996,2319083.659999996,68,1420943.38,6285053.339999998,-40.49331266295988,2024
2024-05-01,3608106.4899999956,2377779.2499999953,65,1230327.24,6285053.339999998,-42.59226939194129,2024
2024-06-01,3668588.8899999936,2400012.309999994,63,1268576.5799999996,6285053.339999998,-41.62994820343092,2024
2024-07-01,3678014.429999994,2418133.8599999947,62,1259880.5699999994,6285053.339999998,-41.479980661548446,2024
2024-08-01,3634393.2999999956,2434850.719999995,60,1199542.5800000005,6285053.339999998,-42.174026163475695,2024
2024-09-01,3664990.719999996,2447215.199999996,63,1217775.52,6285053.339999998,-41.68719783689223,2024
2024-10-01,3691375.5799999963,2490314.5899999966,67,1201060.9899999998,6285053.339999998,-41.267394558023,2024
2024-11-01,3771263.399999997,2526825.7699999968,64,1244437.6300000004,6285053.339999998,-39.99631831286895,2024
2024-12-01,3902007.3199999975,2521551.269999997,64,1380456.0500000003,6285053.339999998,-37.916082666054216,2024
2025-01-01,3780663.4099999974,2592811.0799999973,63,1187852.3300000003,6285053.339999998,-39.84675697278969,2025
2025-02-01,3792216.6199999973,2586442.1899999976,66,1205774.4299999997,6285053.339999998,-39.662936575809574,2025
2025-03-01,3697262.2399999974,2651627.169999997,62,1045635.0700000001,6285053.339999998,-41.17373330040826,2025
2025-04-01,3618030.4399999976,2679633.6999999974,61,938396.7400000003,6285053.339999998,-42.43437176620686,2025
2025-05-01,3686948.5599999977,2717683.3699999973,62,969265.1900000003,6285053.339999998,-41.33783182817031,2025
2025-06-01,3728904.549999997,2704765.819999997,62,1024138.7299999999,6285053.339999998,-40.67027997569869,2025
2025-07-01,3799887.5299999965,2680685.879999997,65,1119201.6499999997,6285053.339999998,-39.54088653764715,2025
2025-08-01,3846686.549999998,2696843.0999999978,64,1149843.45,6285053.339999998,-38.79627837812433,2025
2025-09-01,3894829.889999997,2744149.049999997,63,1150680.8399999999,6285053.339999998,-38.03028106043094,2025
2025-10-01,3931051.499999997,2817124.2099999976,59,1113927.2899999998,6285053.339999998,-37.45396757444228,2025
2025-11-01,3933323.329999998,2871685.889999998,60,1061637.4400000002,6285053.339999998,-37.417821023616014,2025
